product href,image-src,price,title
https://www.dischem.co.za/zuru-robo-alive-dino-action-raptor-002,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052037923.jpg,R 234.95,Zuru Robo Alive Dino Action Raptor
https://www.dischem.co.za/zuru-robo-alive-dino-action-pterodactyl-003,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052037930_front.jpg,R 234.95,Zuru Robo Alive Dino Action Pterodactyl
https://www.dischem.co.za/zuru-rainbocorns-bunnycorn-surprise-941,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052037985.jpg,R 239.95,Zuru Rainbocorns Bunnycorn Surprise
https://www.dischem.co.za/zuru-rainbocorn-puppycorn-surprise-5-826,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052032720.jpg,R 299.95,Zuru Rainbocorn Puppycorn Surprise 5
https://www.dischem.co.za/zuru-rainbocorn-kittycorn-surprise-5-795,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052037978_side.jpg,R 289.95,Zuru Rainbocorn Kittycorn Surprise 5
https://www.dischem.co.za/zuru-pets-alive-shakin-pups-series-1-969,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052038098.jpg,R 179.95,Zuru Pets Alive Shakin Pups Series 1
https://www.dischem.co.za/zuru-newborn-unicorn-squad-series-5-035,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052033185.jpg,R 159.95,Zuru Newborn Unicorn Squad Series 5
https://www.dischem.co.za/zuru-mini-brands-series-1-942,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052020819.jpg,R 199.95,Zuru Mini Brands Series 1
https://www.dischem.co.za/zuru-micro-boats-series-3-794,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/8/4/845218025649.jpg,R 189.95,Zuru Micro Boats Series 3
https://www.dischem.co.za/zuru-metal-machines-standard-series-4-car-929,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/649430f30bac1_193052051158.jpg,R 59.95,Zuru Metal Machines Standard Series 4 Car
https://www.dischem.co.za/zuru-metal-machines-playset-road-rampage-085,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/5/652d080ad94d1_845218018351.jpg,R 179.95,Zuru Metal Machines Playset Road Rampage
https://www.dischem.co.za/zuru-metal-machines-playset-crocodile-086,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/8/4/845218026264.jpg,R 179.95,Zuru Metal Machines Playset Crocodile
https://www.dischem.co.za/zuru-metal-machines-die-cast-cars-5packk-888,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/8/4/845218024987.jpg,R 149.95,Zuru Metal Machines Die Cast Cars 5packk
https://www.dischem.co.za/zuru-max-build-more-construction-figurines-927,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052028921.jpg,R 49.95,Zuru Max Build More Construction Figurines
https://www.dischem.co.za/zuru-max-build-construction-eggs-462,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/6493f0de9f42f_193052028280.jpg,R 79.95,Zuru Max Build Construction Eggs
https://www.dischem.co.za/zuru-girlz-dolls-princess-unicorn-26cm-829,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052037237.jpg,R 129.95,Zuru Girlz Dolls Princess / Unicorn 26cm
https://www.dischem.co.za/zuru-girlz-dolls-princess-unicorn-827,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052037244.jpg,R 79.95,Zuru Girlz Dolls Princess / Unicorn
https://www.dischem.co.za/zuru-coco-surprise-cones-fantasy-964,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/5/652d05d0afbe6_193052023179.jpg,R 159.95,Zuru Coco Surprise Cones Fantasy
https://www.dischem.co.za/zuru-coco-surprise-cones-classics-133,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/3/63ac199a95ad9_193052038944_front.png,R 159.95,Zuru Coco Surprise Cones Classics
https://www.dischem.co.za/zuru-5-surprise-plushy-pets-series-1-928,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052030818.jpg,R 189.95,Zuru 5 Surprise Plushy Pets Series 1
https://www.dischem.co.za/zoo-animals-pvc-6-piece-680,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/644bbe390c4dd_6009543749296.jpg,R 69.95,Zoo Animals Pvc 6 Piece
https://www.dischem.co.za/zoe-edp-100ml-521,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/1/618a7ddb643cb_3430750159753.jpg,R 345.00,Zoe EDP 100ml
https://www.dischem.co.za/zipper-bags-25-s-small-freezer-646,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/644bbee715e37_6009833560068.jpg,R 32.95,Zipper Bags 25's Small Freezer
https://www.dischem.co.za/zipped-rebel-edt-100ml-345,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/d/5d9475d969d56_008952133005.jpg,R 345.00,Zipped Rebel EDT 100ml
https://www.dischem.co.za/zipped-premier-edt-100ml-343,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/d/5d9475d962efb_008952113007.jpg,R 345.00,Zipped Premier EDT 100ml
https://www.dischem.co.za/zinplex-zinc-dispersible-tablets-naartjie-flavour-60s-boosts-the-immune-system-810,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/6459fb34729ac_6009706881313_front.jpg,R 84.95,Zinplex Zinc Dispersible Tablets Naartjie Flavour 60s. Boosts The Immune System
https://www.dischem.co.za/zinplex-vit-d3-junior-syrup-200ml-921,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/3/63fd9507c3600_6009706881283.jpg,R 66.95,Zinplex Vit D3 Junior Syrup 200ml
https://www.dischem.co.za/zinplex-triple-plus-tabs-30-s-778,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009706881290.jpg,R 92.95,Zinplex Triple Plus Tabs 30's
https://www.dischem.co.za/zinplex-triple-plus-capsules-30s-183,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009706881542_front.jpg,R 92.95,Zinplex Triple Plus Capsules 30s
https://www.dischem.co.za/zinplex-triple-60-s-707,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/f/5ffc24372250b_6009802260258_front.jpg,R 172.95,Zinplex Triple 60's
https://www.dischem.co.za/zinplex-tea-tree-zinc-bar-100g-164,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/f/5ffc243646665_6009706880897_front.jpg,R 42.95,Zinplex Tea Tree & Zinc Bar 100g
https://www.dischem.co.za/zinplex-spot-control-30ml-991,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/2/62fa4dde08bd0_6009706881511.jpg,R 39.95,Zinplex Spot Control 30ml
https://www.dischem.co.za/zinplex-sport-zma-capsules-90s-216,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009706881764_front.jpg,R 229.95,Zinplex Sport Zma Capsules 90s
https://www.dischem.co.za/zinplex-scrub-combo-708,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/1/6172c4de955b2_6009802260333.jpg,R 215.00,Zinplex Scrub Combo
https://www.dischem.co.za/zinplex-pregnaplex-30s-121,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009706881771_front.jpg,R 131.95,Zinplex Pregnaplex 30s
https://www.dischem.co.za/zinplex-pqq-capsules-857,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009706881696_front.jpg,R 379.95,Zinplex Pqq Capsules
https://www.dischem.co.za/zinplex-picolinate-50mg-60-tablets-941,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/f/5ffc243604b21_6001651009804_front.jpg,R 99.95,Zinplex Picolinate 50mg 60 Tablets
https://www.dischem.co.za/zinplex-picolinate-50mg-120-tablets-942,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/f/5ffc24367eb1e_6009802260012_front.jpg,R 136.95,Zinplex Picolinate 50mg 120 Tablets
https://www.dischem.co.za/zinplex-night-cream-50ml-443,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009802260562.jpg,R 99.95,Zinplex Night Cream 50ml
https://www.dischem.co.za/zinplex-moisturizer-50ml-706,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/f/5ffc243742791_6009802260371_front.jpg,R 98.95,Zinplex Moisturizer 50ml
https://www.dischem.co.za/zinplex-magneplex-syrup-200ml-766,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/f/5ffc2436ddaf5_6009802260142_front.jpg,R 69.95,Zinplex Magneplex Syrup 200ml
https://www.dischem.co.za/zinplex-junior-xylitol-syrup-200ml-136,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/f/5ffc2436eba2e_6009802260210_front.jpg,R 64.95,Zinplex Junior Xylitol Syrup 200ml
https://www.dischem.co.za/zinplex-junior-syrup-cream-soda-200ml-664,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/f/5ffc2437136db_6009802260241_front.jpg,R 64.95,Zinplex Junior Syrup Cream Soda 200ml
https://www.dischem.co.za/zinplex-junior-probiotic-drops-30ml-179,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009706881535.jpg,R 134.95,Zinplex Junior Probiotic Drops 30ml
https://www.dischem.co.za/zinplex-junior-multivite-gummies-120s-tropical-flavour-222,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009706881740.jpg,R 169.95,Zinplex Junior Multivite Gummies 120s Tropical Flavour.
https://www.dischem.co.za/zinplex-junior-magnesium-syrup-200ml-759,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/3/63fca7a410b9b_6009706881528.jpg,R 68.95,Zinplex Junior Magnesium Syrup 200ml
https://www.dischem.co.za/zinplex-junior-immune-booster-gummies-120s-berry-flavour-178,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009706881733.jpg,R 169.95,Zinplex Junior Immune Booster Gummies 120s Berry Flavour.
https://www.dischem.co.za/zinplex-forte-50mg-60-tablets-947,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/f/5ffc2436afb8f_6009802260067_front.jpg,R 198.95,Zinplex Forte 50mg 60 Tablets
https://www.dischem.co.za/zinplex-facial-wash-150ml-pump-bottle-373,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009802260708.jpg,R 124.95,Zinplex Facial Wash 150ml Pump Bottle
https://www.dischem.co.za/zinplex-facial-wash-100ml-948,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/f/5ffc2436cf726_6009802260128_front.jpg,R 98.95,Zinplex Facial Wash 100ml
https://www.dischem.co.za/zinplex-facial-gel-50ml-949,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/644bbee464f5d_6009802260111.jpg,R 98.95,Zinplex Facial Gel 50ml
