product href,image-src,price,title,action
https://www.dischem.co.za/nivea-body-cream-400ml-165,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/2/123165_1_1.jpg,R 84.95,Nivea Body Cream 400ml,
https://www.dischem.co.za/meridol-toothpaste-75ml-012,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/2/7/279012_1_1.jpg,R 98.95,Meridol Toothpaste 75ml,
https://www.dischem.co.za/acc-200mg-tab-40-s-510,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/64672240c51df_6006498014387.jpg,R 168.95,Acc 200mg Tab 40's,Add to Cart
https://www.dischem.co.za/maybelline-fit-me-foundation-matt-poreless-885,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/2/2/223885_1_1.jpg,R 199.95,Maybelline Fit Me Foundation Matt & Poreless,
https://www.dischem.co.za/nivea-shower-gel-female-500ml-875,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/7/172875_1_1.jpg,R 83.95,Nivea Shower Gel Female 500ml,
https://www.dischem.co.za/eucerin-sun-even-pigment-perfector-spf50-50ml-478,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/f/5f6480953b835_4005800238963.jpg,R 369.95,Eucerin Sun Even Pigment Perfector Spf50+ 50ml,Add to Cart
https://www.dischem.co.za/sunlight-semi-concentrated-liquid-detergent-1-5-baby-643,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/644bbd73a4b42_6001087384377.jpg,R 79.95,Sunlight Semi Concentrated Liquid Detergent 1.5 Baby,Add to Cart
https://www.dischem.co.za/vaseline-lip-care-gel-20g-589,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/2/0/202589_1_1.jpg,R 29.95,Vaseline Lip Care Gel 20g,
https://www.dischem.co.za/biogen-supreme-probiotic-60-s-679,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/3/637184b8c047a_6009544922124.jpg,R 264.95,Biogen Supreme Probiotic 60's,Add to Cart
https://www.dischem.co.za/pampers-premium-care-size-6-vp-36-s-199,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/8/0/8001841114507.jpg,R 289.99,Pampers Premium Care Size 6 Vp - 36's,Add to Cart
https://www.dischem.co.za/gold-slow-release-magnesium-100-tablets-919,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009515512156.jpg,R 129.95,Gold Slow Release Magnesium 100 Tablets,Add to Cart
https://www.dischem.co.za/colgate-toothpaste-75ml-optic-white-charcoal-820,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/8/7/8718951264618.jpg,R 78.95,Colgate Toothpaste 75ml Optic White Charcoal,Add to Cart
https://www.dischem.co.za/skin-republic-spot-clear-salicylic-acid-patches-48pcs-335,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/9/3/9312658270775.jpg,R 62.95,Skin Republic Spot Clear Salicylic Acid Patches 48pcs,Add to Cart
https://www.dischem.co.za/biogen-magnesium-glycinate-60-tablets-164,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/e/5efcaacd0629a_6009544927648.jpg,R 299.95,Biogen Magnesium Glycinate 60 Tablets,Add to Cart
https://www.dischem.co.za/trigz-popped-corn-chips-85g-755,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/194755_1_1.jpg,R 19.95,Trigz Popped Corn Chips 85g,
https://www.dischem.co.za/femina-probiotic-cranberry-extract-30s-300,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6086bbf2d2d1b_39339734195.jpg,R 174.95,Femina Probiotic Cranberry Extract - 30s,Add to Cart
https://www.dischem.co.za/organics-anti-hairfall-hair-shampoo-1l-718,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6001087378895.jpg,R 89.95,Organics Anti-hairfall Hair Shampoo 1l,Add to Cart
https://www.dischem.co.za/softi-2ply-18-s-p-763,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6082b90c617f3_6009663051774.jpg,R 109.95,Softi 2ply 18's P,Add to Cart
https://www.dischem.co.za/nazovin-adult-metered-spray-10ml-636,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009880474066.jpg,R 74.95,Nazovin Adult Metered Spray 10ml,Add to Cart
https://www.dischem.co.za/colgate-toothbrush-max-white-631,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6001067025931.jpg,R 43.95,Colgate Toothbrush Max White,
https://www.dischem.co.za/colgate-toothbrush-slim-soft-advanced-charcoal-2-pack-615,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/3/6371853d7cc60_8693495052337.jpg,R 119.95,Colgate Toothbrush Slim Soft Advanced Charcoal 2 Pack,Add to Cart
https://www.dischem.co.za/nestle-nan-supreme-pro-ha-stage-1-800g-564,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/6405bd7a65571_7613036172554.jpg,R 389.99,Nestle Nan Supreme Pro Ha Stage 1 800g,Add to Cart
https://www.dischem.co.za/nestle-nan-supreme-pro-ha-stage-2-800g-563,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/6405bd7a8c7c5_7613036172578.jpg,R 389.99,Nestle Nan Supreme Pro Ha Stage 2 800g,Add to Cart
https://www.dischem.co.za/mugler-alien-body-cream-200ml-533,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/609ce28faa918_3439600056259.jpg,"R 1,455.00",Mugler Alien Body Cream 200ml,Add to Cart
https://www.dischem.co.za/calpol-paediatric-suspension-50ml-strawberry-477,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/e/5e3c13411dd28_6001076820008.jpg,R 49.95,Calpol Paediatric Suspension 50ml Strawberry,Add to Cart
https://www.dischem.co.za/clarins-extra-firming-night-rich-regenerative-cream-for-dry-skin-50ml-442,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/1/6168b31c5604a_3380810442120.jpg,"R 1,285.00",Clarins Extra-firming Night Rich Regenerative Cream For Dry Skin 50ml,Add to Cart
https://www.dischem.co.za/clarins-extra-firming-night-regenerative-cream-for-all-skin-types-50ml-441,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/1/611cff7a53c49_3380810458930.jpg,"R 1,285.00",Clarins Extra-firming Night Regenerative Cream For All Skin Types 50ml,Add to Cart
https://www.dischem.co.za/clarins-extra-firming-day-spf-15-all-skin-types-50ml-440,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/d/5d11f4f51e6b8_3380810194807.jpg,"R 1,225.00",Clarins Extra-firming Day Spf 15 All Skin Types 50ml,Add to Cart
https://www.dischem.co.za/clarins-extra-firming-day-rich-cream-for-dry-skin-50ml-438,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/1/6168b31c62c42_3380810480818.jpg,"R 1,225.00",Clarins Extra-firming Day Rich Cream For Dry Skin 50ml,Add to Cart
https://www.dischem.co.za/clarins-extra-firming-day-all-skin-types-50ml-436,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/1/6168b31c9397c_3666057008412.jpg,"R 1,225.00",Clarins Extra-firming Day All Skin Types 50ml,Add to Cart
https://www.dischem.co.za/skip-auto-original-laundry-washing-liquid-1-5l-423,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/644bbd59e4a66_6001087365932.jpg,R 104.95,Skip Auto Original Laundry Washing Liquid 1.5l,Add to Cart
https://www.dischem.co.za/eau-thermale-avene-gentle-exfoliating-gel-75ml-389,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/6476e22e76ff5_3282770100877.jpg,R 275.00,Eau Thermale Avène Gentle Exfoliating Gel 75ml,Add to Cart
https://www.dischem.co.za/creme-classique-glycolic-acid-peel-388,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/1/61727b44b3043_6009643330219.jpg,R 560.00,Creme Classique Glycolic Acid Peel,Add to Cart
https://www.dischem.co.za/ors-olive-oil-styling-gel-250ml-strong-hold-383,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/2/6291069729986.jpg,R 52.95,Ors Olive Oil Styling Gel 250ml Strong Hold,
